"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.tlog\CL.command.1.tlog","3386","2021-03-15T17:17:25.0945743Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","fdda6fcab0e18535aef0d751d26f9d5a5bf63637a36c83c389bba25c3c7ea577","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.tlog\CL.read.1.tlog","17134","2021-03-15T17:17:25.0925799Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","33556ab4a85eadee5950de5fde76e65b142c9a4a3b9cad6f925ae0a0f2f72a45","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.tlog\CL.write.1.tlog","1438","2021-03-15T17:17:25.0915815Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","697d157fbc014a56facbe8226160624ab86a25c83dce72e83f515f0b23f8ec64","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.tlog\link.command.1.tlog","3144","2021-03-15T17:17:25.0895869Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","1ed208c9ea8accc9daf1d37b41e847a9e06f0aebe6278110a289b9f408f55518","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.tlog\link.read.1.tlog","3280","2021-03-15T17:17:25.0875937Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","7f42b5374ab41a4bc7143737ef8b39fa526cbdda28245d5fc058d0aa88745ac8","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\Очерель RC.tlog\link.write.1.tlog","768","2021-03-15T17:17:25.0855982Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","2a36ee5ddc6e77f8461f87ac90d4a261aefcde0ea23d55011d3c1751bd83907c","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\stdafx.obj","12723","2021-03-15T17:17:25.0796151Z","2016-04-29T18:34:21.0000000Z","2022-02-07T00:17:36.0000000Z","533536","fcb46beed3ad59ae4faed7d51aeb4eac3e2b8c26ea9dea99923c84716bf06ca4","manifest-only","generated-file:.obj",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\vc140.idb","470016","2021-03-15T17:17:25.0776211Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","fe5d04c58c635df04f0b03fba38d73f00d5e2ffa17301a01caee5e691fd7b446","manifest-only","generated-file:.idb",""
"Архив\Программы RC","Очерель RC\Очерель RC\Debug\vc140.pdb","421888","2021-03-15T17:17:25.0756243Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","54bf7a0869d191cc996e089ea8a1312bde2b01544effc526ce0a321c8496b9d1","manifest-only","generated-file:.pdb",""
"Архив\Программы RC","Очерель RC\Очерель RC\ReadMe.txt","2693","2021-03-15T17:17:25.0696400Z","2016-04-29T17:39:44.0000000Z","2022-02-07T00:17:36.0000000Z","533536","f8489d3e1b761c88841f0c90e9f5573a9a5242a026f5c2b704e2f4e66895bbce","copied","tracked-original-file","projects\Архив\Программы RC\Очерель RC\Очерель RC\ReadMe.txt"
"Архив\Программы RC","Очерель RC\Очерель RC\stdafx.cpp","357","2021-03-15T17:17:25.0686428Z","2016-04-29T17:39:44.0000000Z","2026-07-14T01:20:15.1470534Z","533536","7122f9b071a29546d8be21c99698616bc4935c6a0984a519f7ad7fc4d7f4bea1","copied","tracked-original-file","projects\Архив\Программы RC\Очерель RC\Очерель RC\stdafx.cpp"
"Архив\Программы RC","Очерель RC\Очерель RC\stdafx.h","363","2021-03-15T17:17:25.0666481Z","2016-04-29T17:39:44.0000000Z","2026-07-14T01:20:15.1500533Z","533536","a81406dd759e40f4ecbc93c232a276d82681ca151dede0d6fe5a9ae0c00c2ea5","copied","tracked-original-file","projects\Архив\Программы RC\Очерель RC\Очерель RC\stdafx.h"
"Архив\Программы RC","Очерель RC\Очерель RC\targetver.h","342","2021-03-15T17:17:25.0656507Z","2016-04-29T17:39:44.0000000Z","2026-07-14T01:20:15.1520538Z","533536","53a2e8e17f1d4171ab23c2d920d05e269bdfe3a980298335fafb2b49c29ad228","copied","tracked-original-file","projects\Архив\Программы RC\Очерель RC\Очерель RC\targetver.h"
"Архив\Программы RC","Очерель RC\Debug\Очерель RC.exe","46592","2021-03-15T17:17:25.0407174Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","e243c88367bbc2d034c79df238075ac961ffdd6f1eff4a8782ea0b81e84dd7b5","copied","preserved-deliverable","projects\Архив\Программы RC\Очерель RC\Debug\Очерель RC.exe"
"Архив\Программы RC","Очерель RC\Debug\Очерель RC.ilk","398476","2021-03-15T17:17:25.0417147Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","334251da91ee945a04e94e7b8f8b7b2a9017688520fa5d9311046cc71d68c470","manifest-only","generated-file:.ilk",""
"Архив\Программы RC","Очерель RC\Debug\Очерель RC.pdb","954368","2021-03-15T17:17:25.0397202Z","2016-05-02T12:06:19.0000000Z","2022-02-07T00:17:36.0000000Z","533536","5a1118be7ceebba3918ee5822a0dee2804f5099897fec9eeacb7c54466eb13c4","manifest-only","generated-file:.pdb",""
"Архив\Программы RC","Очерель RC\ipch\ОЧЕРЕЛЬ RC-1fa1721c\ОЧЕРЕЛЬ RC-4fb15117.ipch","3538944","2021-03-15T17:17:25.0486960Z","2016-05-02T12:06:15.0000000Z","2022-02-07T00:17:36.0000000Z","533536","4362d73ce21a532dbd0e89e3a6cb3dd3bca37af9ea99a5b01e61aeaaf84ed37b","manifest-only","generated-file:.ipch",""
"Архив\Программы RC","Очерель RC\ipch\ОЧЕРЕЛЬ RC-d407cae7\ОЧЕРЕЛЬ RC-4fb15117.ipch","3538944","2021-03-15T17:17:25.0516880Z","2016-04-29T17:41:09.0000000Z","2022-02-07T00:17:36.0000000Z","533536","95f4708eefc9353fc680c27334011de963e87a310bc6e671b9a47c9f23872c76","manifest-only","generated-file:.ipch",""
"Архив\Программы RC","Пьяница RC\.vs\Пьяница RC\v14\.suo","28672","2021-03-15T17:17:25.1145202Z","2016-05-02T21:10:09.0000000Z","2022-02-07T00:17:36.0000000Z","533536","2975b0513ed2f8186fa94e873ca3070fb62d6b0285e21d73c106ee0055b61d9d","manifest-only","generated-file:.suo",""
"Архив\Программы RC","Пьяница RC\Пьяница RC.sln","1333","2021-03-15T17:17:25.0975665Z","2016-05-02T19:06:17.0000000Z","2026-07-14T01:16:29.1349192Z","533536","3f9cf637812bbb44472508f33e6f7f80c429903898202545dde0c64411d36aac","copied","tracked-original-file","projects\Архив\Программы RC\Пьяница RC\Пьяница RC.sln"
"Архив\Программы RC","Пьяница RC\Пьяница RC.VC.db","32309248","2021-03-15T17:17:25.1165160Z","2016-05-02T21:10:09.0000000Z","2022-02-07T00:17:36.0000000Z","533536","0f543b92535adba8180115bf0e3eab4043c880d33124584189bd5d7b88e1b99e","manifest-only","generated-file:.vc.db",""
